datetime,open,high,low,close,volume
2020-01-01 00:00:00,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500
2020-01-02 00:00:00,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200
2020-01-03 00:00:00,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100
2020-01-04 00:00:00,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700
2020-01-05 00:00:00,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400
2020-01-06 00:00:00,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600
2020-01-07 00:00:00,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100
2020-01-08 00:00:00,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000
2020-01-09 00:00:00,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000
2020-01-10 00:00:00,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800
2020-01-11 00:00:00,8198.86000000,8286.34000000,8003.16000000,8020.01000000,54810.03266700
2020-01-12 00:00:00,8020.01000000,8197.00000000,7960.00000000,8184.98000000,38131.49433600
2020-01-13 00:00:00,8184.97000000,8196.00000000,8055.89000000,8110.34000000,31159.75568300
2020-01-14 00:00:00,8110.34000000,8880.00000000,8105.54000000,8810.01000000,120399.12674200
2020-01-15 00:00:00,8814.64000000,8916.48000000,8564.00000000,8821.41000000,84816.29760600
2020-01-16 00:00:00,8820.01000000,8859.81000000,8586.00000000,8720.01000000,51991.07428400
2020-01-17 00:00:00,8720.15000000,9041.65000000,8672.44000000,8913.28000000,70897.73737700
2020-01-18 00:00:00,8913.27000000,8988.88000000,8806.38000000,8915.96000000,38294.74654500
2020-01-19 00:00:00,8915.09000000,9198.98000000,8466.00000000,8701.70000000,70676.88925900
2020-01-20 00:00:00,8701.72000000,8746.99000000,8521.28000000,8642.35000000,38896.63974600
2020-01-21 00:00:00,8642.35000000,8789.00000000,8488.00000000,8736.03000000,36494.68765900
2020-01-22 00:00:00,8736.04000000,8818.00000000,8590.00000000,8682.36000000,29080.55713800
2020-01-23 00:00:00,8682.77000000,8691.81000000,8306.39000000,8404.52000000,48165.94459700
2020-01-24 00:00:00,8404.52000000,8528.02000000,8238.00000000,8439.00000000,41687.52952900
2020-01-25 00:00:00,8438.99000000,8451.26000000,8254.90000000,8340.58000000,25521.15793200
2020-01-26 00:00:00,8340.01000000,8618.13000000,8293.66000000,8615.00000000,31130.48516400
2020-01-27 00:00:00,8614.39000000,9000.00000000,8535.00000000,8907.57000000,53973.54299600
2020-01-28 00:00:00,8907.57000000,9400.00000000,8862.40000000,9374.21000000,74584.85376500
2020-01-29 00:00:00,9375.34000000,9449.24000000,9216.00000000,9301.53000000,53864.06512200
2020-01-30 00:00:00,9301.57000000,9578.00000000,9204.44000000,9513.21000000,60626.74425900
2020-01-31 00:00:00,9511.52000000,9530.22000000,9210.01000000,9352.89000000,45552.02235200
2020-02-01 00:00:00,9351.71000000,9464.53000000,9281.00000000,9384.61000000,28578.06735400
2020-02-02 00:00:00,9384.41000000,9477.03000000,9120.00000000,9331.51000000,45690.91254000
2020-02-03 00:00:00,9331.59000000,9618.79000000,9234.00000000,9292.24000000,50892.13345100
2020-02-04 00:00:00,9291.35000000,9350.00000000,9093.01000000,9197.02000000,53308.17526600
2020-02-05 00:00:00,9197.02000000,9744.45000000,9177.22000000,9612.04000000,64870.41561500
2020-02-06 00:00:00,9612.03000000,9862.57000000,9526.35000000,9772.00000000,64949.70658800
2020-02-07 00:00:00,9772.00000000,9885.00000000,9730.00000000,9813.73000000,43966.11463200
2020-02-08 00:00:00,9813.87000000,9940.00000000,9667.11000000,9895.05000000,43600.84366600
2020-02-09 00:00:00,9895.04000000,10166.00000000,9880.75000000,10151.75000000,43408.47561600
2020-02-10 00:00:00,10151.72000000,10188.00000000,9756.00000000,9851.83000000,59573.08461900
2020-02-11 00:00:00,9851.74000000,10323.59000000,9700.00000000,10223.08000000,62422.39522400
2020-02-12 00:00:00,10223.08000000,10450.00000000,10223.08000000,10326.46000000,61008.06393000
2020-02-13 00:00:00,10325.33000000,10500.00000000,10080.00000000,10229.63000000,79344.35875900
2020-02-14 00:00:00,10227.78000000,10381.56000000,10111.37000000,10344.36000000,47038.48017300
2020-02-15 00:00:00,10344.36000000,10375.00000000,9801.00000000,9904.72000000,57657.20294700
2020-02-16 00:00:00,9904.46000000,10050.00000000,9638.12000000,9917.27000000,60023.99953700
2020-02-17 00:00:00,9910.70000000,9964.16000000,9452.67000000,9706.00000000,70261.01190100
2020-02-18 00:00:00,9706.00000000,10250.00000000,9576.01000000,10164.71000000,70604.12401900
